HTTrack3.49-2+htsswf+htsjava launched on Sat, 11 Aug 2018 14:05:44 at http://sacheefragrances.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://sacheefragrances.com/ -O1 "C:\Users\AJAY KUMAR\Google Drive\Camera Uploads\Website Creating Lang\sacheefragrances" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

14:10:16	Error: 	"Method Not Allowed" (405) at link sacheefragrances.com/xmlrpc.php (from sacheefragrances.com/)
14:11:01	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1 (from sacheefragrances.com/)
14:11:03	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2017/04/logo.jpg (from sacheefragrances.com/)
14:11:16	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/about-us/company-brief/ (from sacheefragrances.com/)
14:11:16	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/infrastructure/ (from sacheefragrances.com/)
14:11:17	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/fragrances/ (from sacheefragrances.com/)
14:12:49	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2016/01/1.png (from sacheefragrances.com/)
14:12:49	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/fonts/fontawesome-webfont.eot? (from sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/css/font-awesome.min.css?ver=4.7)
14:12:49	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0 (from sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/css/font-awesome.min.css?ver=4.7)
14:12:51	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/themes/sacheefragranees/genericons/font/genericons-regular-webfont.eot (from sacheefragrances.com/wp-content/themes/sacheefragranees/genericons/genericons.css?ver=3.0.2)
14:12:51	Error: 	"Not Found" (404) at link sacheefragrances.com/wp-content/themes/sacheefragranees/images/bg-search.png (from sacheefragrances.com/wp-content/themes/sacheefragranees/style.css?ver=4.7.11)
14:12:52	Error: 	"Not Found" (404) at link sacheefragrances.com/wp-content/themes/sacheefragranees/images/pattern-dark.svg (from sacheefragrances.com/wp-content/themes/sacheefragranees/style.css?ver=4.7.11)
14:12:53	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/plugins/easy-fancybox/fancybox/fancybox.png (from sacheefragrances.com/wp-content/plugins/easy-fancybox/fancybox/jquery.fancybox-1.3.8.min.css?ver=1.5.8.2)
14:12:56	Error: 	"Not Found" (404) at link sacheefragrances.com/wp-content/themes/sacheefragranees/js/mCSB_buttons.png (from sacheefragrances.com/wp-content/themes/sacheefragranees/js/jquery.mCustomScrollbar.css)
14:12:56	Warning: 	Moved Permanently for sacheefragrances.com/?p=2
14:12:56	Warning: 	File has moved from sacheefragrances.com/?p=2 to http://sacheefragrances.com/about-us/
14:12:56	Warning: 	Moved Permanently for sacheefragrances.com/?p=6
14:12:56	Warning: 	File has moved from sacheefragrances.com/?p=6 to http://sacheefragrances.com/about-us/management/
14:12:56	Warning: 	Moved Permanently for sacheefragrances.com/?p=8
14:12:56	Warning: 	File has moved from sacheefragrances.com/?p=8 to http://sacheefragrances.com/about-us/history/
14:13:04	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/infrastructure/ (from sacheefragrances.com/)
14:13:47	Warning: 	Moved Permanently for sacheefragrances.com/?p=16
14:13:47	Warning: 	File has moved from sacheefragrances.com/?p=16 to http://sacheefragrances.com/flavors/
14:13:47	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/21-150x150.png (from sacheefragrances.com/flavors/)
14:13:51	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/flowers_sweets_021.jpg (from sacheefragrances.com/flavors/)
14:13:51	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/Fruit-and-yogurt-150x150.jpg (from sacheefragrances.com/flavors/)
14:13:53	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/sparkling-sips.jpg (from sacheefragrances.com/flavors/)
