date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:46	24/24	---M--	200	added ('OK')	text/plain	date:Wed,%2010%20May%202017%2023:20:06%20GMT	http://sacheefragrances.com/robots.txt		(from )
14:05:48	26563/26563	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Aug%202018%2008:35:52%20GMT	http://sacheefragrances.com/	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/index.html	(from )
14:05:50	122540/122540	---M-Z	200	added ('OK')	text/css	etag:%221519106275%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/css/bootstrap.min.css	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/maxcdn.bootstrapcdn.com/bootstrap/3.3.5/css/bootstrap.min.css	(from http://sacheefragrances.com/)
14:05:50	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2011%20Aug%202018%2008:35:56%20GMT	http://sacheefragrances.com/xmlrpc.php	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/xmlrpc.php	(from http://sacheefragrances.com/)
14:05:51	31000/31000	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20May%202017%2023:19:48%20GMT	http://sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/css/font-awesome.min.css?ver=4.7	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/plugins/easy-social-icons/css/font-awesome/css/font-awesome.min4906.css	(from http://sacheefragrances.com/)
14:05:52	10534/10534	---MCZ	200	added ('OK')	application/rss+xml	etag:%2200f66c6d574abbad40f57b680ef84d62%22	http://sacheefragrances.com/feed/	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/feed/index.html	(from http://sacheefragrances.com/)
14:05:52	10814/10814	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20May%202017%2023:19:48%20GMT	http://sacheefragrances.com/wp-content/plugins/easy-social-icons/css/cnss.css?ver=1.0	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/plugins/easy-social-icons/css/cnss5152.css	(from http://sacheefragrances.com/)
14:05:53	1441/1441	---MCZ	200	added ('OK')	application/rss+xml	etag:%2288556f11a6c4b62a0868c1fb5e0d2d38%22	http://sacheefragrances.com/comments/feed/	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/comments/feed/index.html	(from http://sacheefragrances.com/)
14:05:53	713/713	---MCZ	200	added ('OK')	application/rss+xml	etag:%2288556f11a6c4b62a0868c1fb5e0d2d38%22	http://sacheefragrances.com/home/feed/	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/home/feed/index.html	(from http://sacheefragrances.com/)
14:05:54	22680/22680	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20May%202017%2023:20:02%20GMT	http://sacheefragrances.com/wp-content/themes/sacheefragranees/genericons/genericons.css?ver=3.0.2	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/themes/sacheefragranees/genericons/genericons5b75.css	(from http://sacheefragrances.com/)
14:05:55	74921/74921	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Jun%202017%2005:50:48%20GMT	http://sacheefragrances.com/wp-content/themes/sacheefragranees/style.css?ver=4.7.11	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/themes/sacheefragranees/style4f4a.css	(from http://sacheefragrances.com/)
14:05:56	3872/3872	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20May%202017%2023:19:50%20GMT	http://sacheefragrances.com/wp-content/plugins/easy-fancybox/fancybox/jquery.fancybox-1.3.8.min.css?ver=1.5.8.2	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/plugins/easy-fancybox/fancybox/jquery.fancybox-1.3.8.min82fc.css	(from http://sacheefragrances.com/)
14:05:59	97184/97184	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20May%202017%2023:20:06%20GMT	http://sacheefragrances.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://sacheefragrances.com/)
14:05:59	516/516	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20May%202017%2023:19:48%20GMT	http://sacheefragrances.com/wp-content/plugins/easy-social-icons/js/cnss.js?ver=1.0	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/plugins/easy-social-icons/js/cnss5152.js	(from http://sacheefragrances.com/)
14:06:00	2143/2143	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20May%202017%2023:19:48%20GMT	http://sacheefragrances.com/wp-content/plugins/onclick-popup/onclick-popup.js?ver=4.7.11	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/plugins/onclick-popup/onclick-popup4f4a.js	(from http://sacheefragrances.com/)
14:06:01	854/854	---MC-	200	added ('OK')	text/xml	date:Sat,%2011%20Aug%202018%2008:36:07%20GMT	http://sacheefragrances.com/xmlrpc.php?rsd	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/xmlrpc0db0.php	(from http://sacheefragrances.com/)
14:06:02	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2010%20May%202017%2023:20:04%20GMT	http://sacheefragrances.com/wp-includes/wlwmanifest.xml	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-includes/wlwmanifest.xml	(from http://sacheefragrances.com/)
14:06:04	53241/53241	---MCZ	200	added ('OK')	application/json	date:Sat,%2011%20Aug%202018%2008:36:07%20GMT	http://sacheefragrances.com/wp-json/	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-json/index.html	(from http://sacheefragrances.com/)
14:06:04	2175/2175	---MCZ	200	added ('OK')	application/json	date:Sat,%2011%20Aug%202018%2008:36:09%20GMT	http://sacheefragrances.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsacheefragrances.com%2F	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-json/oembed/1.0/embedb2ce.json	(from http://sacheefragrances.com/)
14:06:05	2274/2274	---MCZ	200	added ('OK')	text/xml	date:Sat,%2011%20Aug%202018%2008:36:11%20GMT	http://sacheefragrances.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsacheefragrances.com%2F&format=xml	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-json/oembed/1.0/embedc09c	(from http://sacheefragrances.com/)
14:06:06	1613/1613	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2023:19:52%20GMT	http://sacheefragrances.com/wp-content/uploads/2017/04/cropped-logo-32x32.jpg	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/uploads/2017/04/cropped-logo-32x32.jpg	(from http://sacheefragrances.com/)
14:06:06	3032/3032	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2023:19:52%20GMT	http://sacheefragrances.com/wp-content/uploads/2017/04/cropped-logo-192x192.jpg	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/uploads/2017/04/cropped-logo-192x192.jpg	(from http://sacheefragrances.com/)
14:06:07	2890/2890	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2023:19:52%20GMT	http://sacheefragrances.com/wp-content/uploads/2017/04/cropped-logo-180x180.jpg	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/uploads/2017/04/cropped-logo-180x180.jpg	(from http://sacheefragrances.com/)
14:06:08	53583/53583	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20May%202017%2023:20:02%20GMT	http://sacheefragrances.com/wp-content/themes/sacheefragranees/js/jquery.mCustomScrollbar.css	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/sacheefragrances.com/wp-content/themes/sacheefragranees/js/jquery.mCustomScrollbar.css	(from http://sacheefragrances.com/)
14:06:09	95992/95992	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from http://sacheefragrances.com/)
14:06:10	36816/36816	---M-Z	200	added ('OK')	application/javascript	etag:%221519106282%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/js/bootstrap.min.js	C:/Users/AJAY%20KUMAR/Google%20Drive/Camera%20Uploads/Website%20Creating%20Lang/sacheefragrances/maxcdn.bootstrapcdn.com/bootstrap/3.3.5/js/bootstrap.min.js	(from http://sacheefragrances.com/)
