date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:56	327/327	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Dec%202017%2015:26:56%20GMT	http://www.wicabindia.com/robots.txt		(from )
20:56:56	17151/17151	---M--	200	added ('OK')	text/html	etag:%2236c004c-42ff-47a70ce01e880%22	http://www.wicabindia.com/	C:/My%20Web%20Sites/jj/www.wicabindia.com/index.html	(from )
20:56:58	36907/36907	---M--	200	added ('OK')	text/html	etag:%2236c0045-902b-464998cbfda40%22	http://www.wicabindia.com/aboutus.htm	C:/My%20Web%20Sites/jj/www.wicabindia.com/aboutus.html	(from http://www.wicabindia.com/)
20:56:59	37476/37476	---M--	200	added ('OK')	text/html	etag:%2236c0054-9264-464998f6e7f80%22	http://www.wicabindia.com/services.htm	C:/My%20Web%20Sites/jj/www.wicabindia.com/services.html	(from http://www.wicabindia.com/)
20:57:00	37066/37066	---M--	200	added ('OK')	text/html	etag:%2236c0052-90ca-464998ef46d80%22	http://www.wicabindia.com/quality.htm	C:/My%20Web%20Sites/jj/www.wicabindia.com/quality.html	(from http://www.wicabindia.com/)
20:57:01	38501/38501	---M--	200	added ('OK')	text/html	etag:%2236c0047-9665-47bdc21a00780%22	http://www.wicabindia.com/contactus.htm	C:/My%20Web%20Sites/jj/www.wicabindia.com/contactus.html	(from http://www.wicabindia.com/)
20:57:02	326/326	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Dec%202017%2015:27:01%20GMT	http://www.wicabindia.com/query.htm	C:/My%20Web%20Sites/jj/www.wicabindia.com/query.htm	(from http://www.wicabindia.com/)
20:57:03	19123/19123	---M--	200	added ('OK')	image/jpeg	etag:%2236c0067-4ab3-464998c45c840%22	http://www.wicabindia.com/images/wicab1.jpg	C:/My%20Web%20Sites/jj/www.wicabindia.com/images/wicab1.jpg	(from http://www.wicabindia.com/)
20:57:03	5466/5466	---M--	200	added ('OK')	image/jpeg	etag:%2236c0062-155a-464998b9def80%22	http://www.wicabindia.com/images/logo.jpg	C:/My%20Web%20Sites/jj/www.wicabindia.com/images/logo.jpg	(from http://www.wicabindia.com/)
20:57:04	2723/2723	---M--	200	added ('OK')	image/jpeg	etag:%2236c0063-aa3-464998bbc7400%22	http://www.wicabindia.com/images/products.jpg	C:/My%20Web%20Sites/jj/www.wicabindia.com/images/products.jpg	(from http://www.wicabindia.com/)
20:57:04	73/73	---M--	200	added ('OK')	image/gif	etag:%2236c0066-49-464998c180180%22	http://www.wicabindia.com/images/tp.gif	C:/My%20Web%20Sites/jj/www.wicabindia.com/images/tp.gif	(from http://www.wicabindia.com/)
20:57:05	407/407	---M--	200	added ('OK')	image/jpeg	etag:%2236c005a-197-464998ae6d480%22	http://www.wicabindia.com/images/bull.jpg	C:/My%20Web%20Sites/jj/www.wicabindia.com/images/bull.jpg	(from http://www.wicabindia.com/)
20:57:08	17151/17151	---M--	200	added ('OK')	text/html	etag:%2236c004c-42ff-47a70ce01e880%22	http://www.wicabindia.com/index.htm	C:/My%20Web%20Sites/jj/www.wicabindia.com/index-2.html	(from http://www.wicabindia.com/aboutus.htm)
20:57:08	50817/50817	---M--	200	added ('OK')	application/x-shockwave-flash	etag:%2236c0061-c681-464998b7f6b00%22	http://www.wicabindia.com/images/image.swf	C:/My%20Web%20Sites/jj/www.wicabindia.com/images/image.swf	(from http://www.wicabindia.com/)
20:57:08	425/425	---M--	200	added ('OK')	image/jpeg	etag:%2236c0060-1a9-464998b426200%22	http://www.wicabindia.com/images/email.jpg	C:/My%20Web%20Sites/jj/www.wicabindia.com/images/email.jpg	(from http://www.wicabindia.com/aboutus.htm)
20:57:09	43/43	---M--	200	added ('OK')	image/gif	etag:%2236c0069-2b-464998c738f00%22	http://www.wicabindia.com/images/zero.gif	C:/My%20Web%20Sites/jj/www.wicabindia.com/images/zero.gif	(from http://www.wicabindia.com/aboutus.htm)
20:57:10	2664/2664	---M--	200	added ('OK')	image/jpeg	etag:%2236c0064-a68-464998bcbb640%22	http://www.wicabindia.com/images/products2.jpg	C:/My%20Web%20Sites/jj/www.wicabindia.com/images/products2.jpg	(from http://www.wicabindia.com/aboutus.htm)
20:57:10	366/366	---M--	200	added ('OK')	image/jpeg	etag:%2236c005b-16e-464998af616c0%22	http://www.wicabindia.com/images/bull2.jpg	C:/My%20Web%20Sites/jj/www.wicabindia.com/images/bull2.jpg	(from http://www.wicabindia.com/aboutus.htm)
20:57:13	36986/36986	---M--	200	added ('OK')	text/html	etag:%2236c0046-907a-464998ceda100%22	http://www.wicabindia.com/barewireprod.htm	C:/My%20Web%20Sites/jj/www.wicabindia.com/barewireprod.html	(from http://www.wicabindia.com/aboutus.htm)
